,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
328,329,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
329,330,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
330,331,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
331,332,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
332,333,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
333,334,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
334,335,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
335,336,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
336,337,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
337,338,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
338,339,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
339,340,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
340,341,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
341,342,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
342,343,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
343,344,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
344,345,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
345,346,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
346,347,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
347,348,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
348,349,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
349,350,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
350,351,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
351,352,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
352,353,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
353,354,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
354,355,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
355,356,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
356,357,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
357,358,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
358,359,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
359,360,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
360,361,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
361,362,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
362,363,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
363,364,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
364,365,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
365,366,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
366,367,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
367,368,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
368,369,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
369,370,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
370,371,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
371,372,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
372,373,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
373,374,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
374,375,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
375,376,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
